sentence	emotion
Five years ago . Bingo .	7
You'd crawl over your dying mother to fuck your sister .	3
Now that you have our city , what do you want with it ?	2
Well , what are we waiting for ?	2
Don't you remember ?	7
You have my word .	8
That'd be great . Thank you .	8
Yeah , I can just tell the way it smells that this is gonna be a great year for cotton , yeah .	2
Everything there can be interpreted as an attempt to enforce discipline .	1
[PERSON] , you got to trust me .	8
Now knock it off !	1
These images will pollute us .	3
Subject is violently antisocial given to delusions of godhood . And he's hopelessly addicted to narcotics .	6
I'm staying .	2
Nitrates and phosphate for ammunition ... The seeds of war .	1
Let me have a taste of it .	2
Well , I still want him for that train robbery up at [LOCATION] .	3
We're being attacked !	7
Where are we going ?	2
I made a special effort to not look like a nurse .	2
That's how marriages are arranged down here .	8
[LOCATION] will be very gay this season .	2
Great !	5
Were you close with the deceased ?	6
Yes , very appropriate .	8
Pray you get the chance .	4
Can you explain your testimony that there is more stringent posting rules for selling a motorcycle than selling a - year - old ?	1
We can get cheap tickets from [PERSON]'s parents .	2
What is the matter with you ?	1
Ah , yes ! ' I had a migraine , your Majesty .	8
He was ... fine .	3
The best died there .	6
What the hell is going on out there , [PERSON] ?	4
Shall we bid our guests farewell ?	8
It was a good party , wasn't it ?	5
The worst would be a relief .	1
I'm not sure how much good all this talking's doing .	6
Maybe it's me and [PERSON] .	7
I'm the last installment and that troubles me .	6
Tried to save a girl , kind of queered his mind too .	1
Don't burn yourself , [PERSON] .	4
Yeah , call the cops .	1
I'm waiting .	1
Fuck you .	1
I am away , sick .	6
He knew of everything for [PERSON] .	2
Like myself , it struggled blindly for the means to live .	6
No one can feel safe living in a community ... when there are reckless and irresponsible neurotics ... wandering about its thoroughfares armed with deadly weapons .	4
You steal a little swordfish , and [PERSON] should lighten up ?	7
You want some hot coffee , huh ?	2
Idle boasting , I assure you .	3
This is a dreadful miscarriage .	6
She's hysterical , beating ...	4
There's gonna be a lot of money in town .	2
Without the ring , there will be no sacrifice , without the sacrifice , no congregation .	8
They described a decades long conspiracy to cover up extraterrestrial visitation to [LOCATION] .	1
You don't care about me .	6
There's no time ...	6
What's the great rush ?	7
That's a lie !	3
We just found out they were lost !	4
Said it was ghastly .	4
Just look at this crowd .	3
Of course , you've been here before .	2
That's got it .	8
Never !	1
You insist on putting me into a position that I don't in the least relish .	6
It's like [PERSON] , you see ?	5
We're going now , and I was afraid I wouldn't see you again .	6
What are you doing here ?	1
I don't think this bullshit's funny .	3
Okay . All right , look , everything's fine .	8
Your brother's a master at it .	8
Otherwise I'm gonna fuck you up good !	1
Come in and I'll get you a nice , cold glass of water .	8
Nothing Mr. [PERSON] has to say means shit to you , does it , [PERSON] ?	3
All I asked you is where the hell [PERSON] is .	1
You must forgive me .	6
What's your problem , jerk off ?	3
I try to help , but he doesn't listen to me , and I've got my own grief to work through .	6
You want to play games ?	3
The war in [LOCATION] .	6
They'll disembowel us .	4
What about a little music ?	2
When do I get the money ?	2
[PERSON] hits the ceiling and throws me out .	6
I'll see you tonight .	8
It's terrible that bad things happen , and all we do is stand by and watch .	6
That's my old man , Kid .	8
He'll talk to you .	8
But if it isn't me , then we have to make a deal , you and I , to accept that fact and find a way to stop it , OK ?	8
Get her back for me , please .	4
I'll travel wherever there are Russian commissions .	2
She's sad right now ?	6
He's mine !	5
All right , next time I hear it , I am taking it away .	1
We are quite alone , I assure you .	8
Maybe we better get inside , OK ?	8
So you just hang out and keep a look at kids ?	3
Where did he go ?	2
Why would he buy a bible ?	7
She doesn't know .	6
What is it with you boys and your war toys ?	3
I have to come all this way to tell you this ?	1
You know , we knew you was a punk then , but you're being a punk now .	1
How did you recognise me , Mr [PERSON] ?	7
That task force is headed this way .	4
I've never liked him .	1
How's it feel to have the woman you've wronged cloak your sins ?	3
Oh , I wanted you to see this advertising layout .	2
I've been hiding it just for you .	8
And I panicked , and I lied .	4
It was awful !	6
If you thought as much about being honest as you do about being smart ...	3
In the garden of a convent in [LOCATION] , there's a beautiful statue .	5
Why don't I save you the trouble ?	8
She tried to kill me because I told her about Nately .	4
Why not believe me ?	1
If they let me settle this now , between me and [PERSON] they're never going to see or hear from me again .	1
You think I'll ever forget you running from that stupid clown ?	3
You got to get me out of this mess !	1
What's going on between you two ?	7
Dear Bow Tie Killer , how's prison ?	5
We did not ditch . We were working .	6
Yes , tell him I'm in the middle of an important phone call .	1
These are the wrong keys .	6
Will you please stop telling me how to run my life for a couple of minutes ?	1
[PERSON] could be killed .	4
This anger's not about me . Who are you angry with ?	8
Yet you let [PERSON] know you'd drag it in at any opportunity .	1
Don't you want to go to [LOCATION] ?	7
It's a damn nightmare .	4
I can not accept you as [PERSON]'s son .	3
My , what a pretty place !	5
You see , [PERSON] , there are certain advantages to being on the sick list .	5
The sooner you get that , the better off we're all gonna be .	2
Leave us the hell alone !	1
Are you sure this report's correct ?	7
He said again that the more early I was going away better .	1
Oh , what are you doing here ?	7
Oh , [PERSON] !	8
Son of a bitch !	1
Glad to have you with us , Big Casino .	5
But I would love to hang out with you again .	2
Tell the King ... that try to forgive him .	2
Didn't you hear me ? I said go away !	1
Yes , all right , I will call you later .	2
Don't let me go down .	4
You reject it .	6
Otherwise you'll never get out of [LOCATION] alive .	4
They're coming to get you , [PERSON] .	1
Gentlemen ?	2
We have to save each other , because all victims are equal .	8
Shake on it , bruv .	8
Don't worry .	8
I put my ass on the line for nothing !	1
[PERSON] , these trunks is very special to me , you know ?	8
They must've wiped this place clean .	7
I'm not proud of that .	3
Oh , it was just ...	7
If you wouldn't mind giving me a lift .	8
He's a poor boy .	6
I'll take care of him .	8
But I'll speak with you later .	2
Well , how did it go ?	2
Okay , I'm sorry , all right ?	1
I thought you were supposed to eat fish on a Friday .	7
I was just an ensign .	6
Summertime , all you can smell is the garbage .	3
I want to tell you something .	8
And what's more , I'm going to marry you , Terenia !	2
big town ? I beg your pardon ?	6
Father , make us truly humble and thankful ... for these and all the other blessings .	5
Between the cousins and neighbors , there were kids , always causing trouble together .	1
She was wearing them tonight .	7
Your vendetta has dragged on long enough .	6
Son of dork , son of dork !	1
We weren't trying to escape .	4
I'm sorry , Grandfather . I've got to get some air .	3
by getting blackout drunk .	3
I was afraid [PERSON] might have stolen the suitcase .	4
You are lucky to be chosen !	1
And goddamn it , tuck up those pyjamas !	3
It seems I try to do the impossible .	6
You've got a beard ! You're a man !	7
You got it .	8
I appreciate your letting me come .	8
I'm here to admit you and , God willing , help you .	2
Now's your chance , go !	7
Or some professional individual saying ,	8
He acted strange .	7
For the love of God , [PERSON] .	1
You'll be called vice president , but you will be , de facto , something more .	8
,000 , telegrams demanding that he yield this floor .	5
So tired .	6
But when men who aren't actually there have intercourse with you , it is time to see a good psychiatrist .	4
I wonder if I could remind the [PERSON] of his promise ... that I might speak to him at any time ?	2
As soon as we get near those cattle pens take [PERSON] and drive her out of town as fast as you can .	8
My seat belt's too tight .	1
That high is not the one you're looking for . Believe me .	3
We'll be home soon .	2
I don't know what [PERSON] is ... now .	4
Cover up her mouth !	1
Oh , how lovely .	5
You realize your contacting the saucer violated our instructions .	1
Here , in abundance , were various substances Necessary to sustain life ...	2
You oughtta try it , it might clear your head .	5
I know that you are tough .	8
I intend to make a full report of your activities in this camp .	3
Now , they're probably gonna crown us King and Queen of the Costume Ball .	2
You'll sell the furniture ?	1
You didn't know that about [PERSON] , eh ?	7
She is a real lady .	8
Cause we just got a package , and I don't see his address here in the ...	4
Since we are nearing the island of [PERSON] , You will have an opportunity of selecting your own food .	2
And as for you ... whatever it is you're hatching , forget it , or end up dead .	3
The point is , the miracle has happened and a great career is yours for the asking .	5
You're wet !	1
He was sensational .	5
I must reply his kindness someday	8
Nothing ever happens .	6
You know he's got the missiles . I know he's got the missiles .	1
I've been aching to mention it to you .	2
Catch ya on the flip - flop , good buddy .	8
I'm making a hundred K a month cooking and dealing crystal meth .	8
I thought he was kidding .	7
I don't see why my son shouldn't be getting his own allowance .	1
It's a small part , but the producer said the next picture I'll have a bigger part .	2
You don't got ta love it , you just got ta do it .	8
[PERSON] was bad news .	1
What he could be is your son . Yeah , he's my seedling ' ...	7
You're listening to a piece of shit like [PERSON] Tex.	3
If you drop any charges against [PERSON] , we'll drop the lawsuit against you .	8
Where does that put us ?	2
Don't call me .	1
I hardly number pirates among my acquaintances .	3
Burn them all away .	3
I think the least people could do is to say they're sorry , or ... something .	6
[PERSON]'s not home but I am , and the front door's unlocked .	2
Over here ! Give us the keys !	2
You can't hurt him like this .	1
He's taking the day off ?	7
Why should the signing of these articles be suddenly held up ?	7
Why is he so against your testifying ?	2
And Spider Man died kind of slow .	6
We'll have just one drink and then we'll go .	2
Did you got , like , baby einstein show with him ?	1
Hey , put the phone down !	1
We can try .	2
And it changes because the people at the top forget how they got there .	1
You are brilliant this morning !	5
Ensign [PERSON] called and told me that you were in trouble .	1
Why don't you chop it off , [PERSON] ?	2
He goes to the fucking hospital , right ?	8
The cops are all over the place .	4
And what will you do then , [PERSON] ?	1
Sure I do .	7
Just the way I like 'em .	5
Word for word one of the best lies I've ever told .	5
You're still in FBI custody .	8
It's not like that .	4
Compliments of Capt. [PERSON] .	5
A little rush ?	1
All the officers were disloyal .	1
We could have one fucking good hunting trip tonight .	2
We all got ta be careful .	4
Alas , if he were brave this would not be necessary .	3
Oh , come on , have a brandy .	5
I would wear the same gown I wore when you were my favourite beau .	5
How very nice of you to say .	5
You may call me Captain [PERSON] .	8
Listen , I've always returned favors , haven't I , [PERSON] ?	6
He can't win in the House .	8
How can you stand there dripping all over their lobby with no heel , no luggage , and say it's my fault we have no room ?	3
You'd be surprised how many nice people dine with them .	7
I'm too tired .	6
[PERSON] planted something up in his office to frame me .	3
Say the word .	8
So , do you think you could get me a TV ?	2
we can work something out . - That's a sweet offer , but not now .	2
Boom .	4
You said she was coming with us .	7
But how do you know that if you weren't there ?	7
More money for the Pentagon when it's own auditors admit the military can not account for % of what it already spends .	1
Don't you know me ?	4
We certainly have the surveillance capabilities to follow the mayor .	8
You're going undercover , buddy . Congratulations .	8
Or - or maybe you mean embarrassing the badge .	4
What else do you have to tell ?	7
There was the explosion in [LOCATION] .	4
I didn't like this boy to begin with , but no man that wasn't sincere could stage a fight like this against all odds .	3
Well , you can always take long walks in the sunshine .	5
So , fuck it . I figure I've got to straighten him out a little bit .	1
Your word to a breechclouted savage ?	3
Who , you mean the current acting President of the [LOCATION] ?	7
Come on , then .	2
Everybody trusts the FBI .	8
[PERSON] , I was so scared .	4
Woman , go on about your business .	3
My success depends on her .	8
Do you know , I remember you now ?	5
Somebody must be in good humour .	5
You [PERSON] ?	2
The rolling balls , the second - hand phrases , the migraine headaches ... Shirt - tails , and tonight's speech : I turned yellow but my dog likes me .	6
I don't want us to end up enemies .	4
Well , can you give me what he has ?	2
The woman is safe . I've contacted the Canadian authorities . They'll be here any minute .	5
I hope not .	4
about jealousy .	3
I couldn't possibly sit still .	2
Congratulations .	8
What he lacked in experience , he's made up in fight .	8
That's what comes of teaching science by TV .	3
It forces me to beg as a beggar .	6
Yes , I'm sure .	8
You see what he did to Miss [PERSON]'s shirt ?	1
This is so goddamn boring !	1
I wanted to apologize for the other night And I was wondering if I can have an opportunity To see you again today and -- and just talk .	3
You got yourself a job .	8
You're welcome to have turkey with my husband and me .	8
Ah , we're getting closer now to what happened ...	2
Two rings ... purse .	7
I have no patience for any more shit .	8
This is maybe the most important case that we handle in our legal career .	8
You think [PERSON]'s gonna buy that ?	4
It's OK , I was thinking the same thing .	8
This is the captain speaking .	4
We ain't hungry ... not food hungry anyway .	2
I really like your singing .	5
What do you mean , call ?	7
Why do we kill people who kill people to show that killing is wrong ?	3
Well , yesterday , he was just a guy working in the Department of City Planning .	3
I wanted to buy you something lovely and exotic .	5
Mr. [PERSON] wants to know how come he don't know you .	5
And what I want is for you to befriend him .	2
You just be quiet . Be a nice girl .	8
Don't be long . You'll catch a cold .	4
Just a friendly place to have a beer .	5
I'm not playing games right now .	7
[PERSON] was never supposed to talk to him .	1
Hurry up , students . Five more minutes for your pen - pals .	2
You make me sick with your heroics .	3
We go to [LOCATION] and I get the money .	2
They will not fail .	8
He accused me of selling out .	1
Recycled jockstraps .	3
You've caused enough trouble .	1
I can be a friend to you , you know .	2
This looks good .	5
Bye !	5
Hey , [PERSON] , that's fantastic .	5
And if we could find it , it wouldn't have a tear .	1
I'm glad to know you , [PERSON] .	5
Her goddamn sister tripped and fell in the tub and she went to help .	1
One that will scream in the middle of the night and you'll have to stumble downstairs in the dark and change his soiled diapers .	3
Dopehead mothers . Garbage blood .	3
Or haven't you heard ?	2
This Chinese trade agreement is going to make [LOCATION] voters very happy .	2
It ain't all that easy , son ....	6
Yes , son , I'm afraid .	4
I took the liberty of ordering everything . I didn't know what you'd like .	2
You think I'm beautiful ?	5
You know me ?	2
I will go to the village to speak with our agent because of the counts of the real estate .	1
They contacted me to feel me out , and to tell me what wonderful people they were , and how their founders were really cool guys from [LOCATION] , and what did I know about that .	1
I really liked the idea .	5
Y' all will be reading about this .	2
We tried that route , but we gave up .	6
Hi ! - Hi ! - What the fuck are you doing here ?	7
The most beautiful poetry can be about simple things like a cat , or a flower , or rain .	5
I'll have some clothes brought by tomorrow and your tape cassette thing for your music and a quilt .	8
I've got to get out before he gets back !	4
No , but the mere thought makes my mouth water .	2
We've been waiting ...	2
Me too .	2
Nice .	5
Oh , God , it even has a barn .	7
I'm thinking about my own ass .	5
That's how it works .	1
Most people think they're beautiful dresses on beautiful women .	3
And then he says , l sure hope he was guilty .  Then he laughs . 	1
Hey , that's it .	5
It was always you and me .	5
Stay there and don't move !	1
I love [LOCATION] .	5
I want to be a great dad .	2
You know something ? Off the screen , I don't think I've ever seen you laugh before .	7
Fine !	1
You're afraid of what may happen if the war comes ?	4
Your wife was a wonderful woman , Mr. [PERSON] .	5
So , where are we all off to ?	2
That's what you're always talking about , helping other people out !	1
I'm not coming .	3
Thank you kindly , [PERSON] .	8
He's a tortured , bitterly neurotic man who's finishing life on his own terms .	1
Now I want that fucking Texador .	1
It's ... Not that big a deal .	8
I'll be sick ...	3
Miss [PERSON] is a very good journalist .	8
You only get one pass at it .	7
The things that are done by love !	5
You can stay at my house because nobody really cares about me .	6
He tried to limit the scope of the fingerprint search to exclude his own .	7
I'll be right over .	2
If I'm not on guard every moment , you steal across the border into reality .	4
Do you really want to know ?	7
Haven't seen you here before .	7
I heard he was connected with the government during the war , a spy .	4
Well , then , I'd say the reason that you broke up is important .	8
And with the telling , it became easier .	5
Can't you see how upset I am about my poor uncle's death ?	6
Rely on me , Papa .	8
Who cares where he's going anyway ?	1
And that's why the man is king .	8
He did that night .	3
Every player on that team thinks I'm the greatest .	5
Don't you have any principles ?	3
Isn't it wonderful ?	5
Thanks for telling me .	8
We're pressing for the earliest possible action .	2
There's a face beneath this face . - No !	1
Imagine , [PERSON] , you'll be the first .	2
There's noise coming from upstairs Let's go up for a look	2
The sun's still high , you can try it again .	5
Well , you know , there wasn't much we could do .	6
I'll be yours if you don't kick in with that $ 10 .	8
Just throw our hats in the air .	8
But it soon became obvious that the senor was only mildly interested in the available talent .	1
Damn you !	1
I had no idea !	7
You think so ?	7
You had a shot in Public Domain where you looked at the camera , into me and I loved you .	5
Why , if it isn't our friend the sharpshooter .	7
I got my rights !	1
I just came to escort you home .	8
Get out of here , before I make you beg for your life .	1
[PERSON]'ll hear !	2
It is not educated . Then it repents .	8
In a shootout , five members of one Colombian drug gang were ambushed by their bloody rivals , the Jamaican Voodoo Posse , who escaped without a trace - again making total fools of ...	1
I know that old man .	8
Now , that was probably a mistake because now you're in danger anyway .	4
You must never do anything like that again , ever .	1
Only I didn't create 'em , I heard about 'em from other people .	6
Sorry .	3
Haven't you heard ?	2
The shipment arrives , we nail them .	2
Without [PERSON] , I'll get nowhere .	8
All right , though , innit ?	5
This , you would buy at a store and take it to a party if you wanted to get big laughs .	5
So that at least narrows down where they are right now .	5
Great .	5
You better come back .	8
We exceeded them by , feet .	5
You got bird shit in your hair .	3
I don't suppose it looks like much to a lady ... but I can't help being proud of it .	5
That's the first thing Cross taught me .	8
Take me with you !	8
What the fuck are you eating ?	3
Here's what you're going to do . You're going to go back to [LOCATION] .	8
Love thy neighbour .	8
Nobody's going to come looking for him ?	1
A marriage bed is made for two , but every damn morning , it's the woman who has to make it .	3
Three years I've been waiting to nail your sorry ass .	3
So [PERSON] , make me the drink you made the night [PERSON] was shot .	5
Anyway , I practically had to beg her to take plastic , and you know how backed up that is .	4
At the moment , no .	3
[PERSON] -[PERSON] , how do you do ?	7
Act natural .	4
Spent time making that , you know .	5
Will you come too ?	2
Well , that's it for another day .	5
I'm not getting paid to be undercover , so I work at this garage all day .	1
You can't see him because you're not dead yet .	1
Hey , trust me with your life but not your money or your wife . You're an asshole !	1
I heard some shooting , Sheriff .	4
I'm glad you came down , [PERSON] .	5
Was ?	7
God , she must really love you .	7
I put the kettle on .	2
It's just beginner's luck .	1
If you come with me into the other room , I'll show you my idea ... if you'll show me yours .	2
Uh ... we're just gonna do nothing ?	7
In the reprisal for the shelling of our homes and the murder of our families by American warships .	8
We have to watch these convicts and murderers all the time .	3
Case is here !	5
You're right .	8
What parade ?	7
If you soltáis ... I will kill you .	1
[PERSON]'s no one's friend .	1
I wonder if I'll ever get the knack of it .	6
Yes , I think I do .	5
Since I'm a one - man show around here , I think I'll forgive myself this one time ...	8
What you fail to understand ... is the power of hate .	1
You haven't wasted your time , [PERSON] .	5
Heavens , no !	4
Or am I going mad ?	4
Sergeant , does this mean we're through for the day ?	2
They won't care about one girl when thousands die every day .	1
Let's have some fun .	2
Oh , well , that's a splendid idea , Mrs. [PERSON] .	5
That is outrageous .	7
Come on ! You're gonna break your guitar . Come on .	1
Sent what ?	4
What the hell is this ?	1
It's getting real bright out here .	7
This is the bridal suite ?	7
We are in great danger .	4
It made her sick .	3
Just apply a pint to your body and you're good for hours .	2
We're here to scout , not engage .	3
When a man like Senator [PERSON] gets up and swears that I've been robbing kids of nickels and dimes .	4
Hi , [PERSON] .	2
Case , it strikes me you chose a strange time to tell us this .	7
[LOCATION] and Junior have been kidnapped .	4
No , please , wait !	6
He'd like me and take me with him .	8
The dog's mine to kill , an eye for an eye .	1
No , I would ... I would remember something like that .	6
Take me !	2
Removed ?	4
I'm not coming in there !	1
How far does a girl have to go before you'll notice her ?	6
I'm sorry about your father .	6
Impossible !	7
You see , I was thinking of writing my story , so I bought this book on how to do it .	2
He's peeing on me .	3
I'm expecting great things from you .	2
got a strong back . And a strong desire to escape .	8
They took his heart out .	3
This is not behaving in a company way .	3
A drink comes in pretty handy sometimes .	5
Listen , today is my birthday and the girls give me a party .	7
You couldn't lend us something more like you are wearing , could you ?	3
He ain't gonna put out bucks on a lousy pair .	1
Too bad about those eggs , [PERSON] .	8
[PERSON] , I'd like to hear it speak .	2
No , you're not kidding . Um ...	2
It's gonna cost him more than that .	1
I got a friend bringing some dough .	8
I think it sucks . - What sucks .	1
You bastard !	1
So , I can not imagine , my dear [PERSON] , why you should wish to involve yourself .	7
He was ill , but he has recovered .	5
Get it and no one'll get hurt .	1
He'll get you into more trouble .	1
I like him .	5
I have to kill people to live .	6
He is not only older and wiser but his present trouble has taught him precaution .	8
Nice family you got here .	5
Don't you see they don't need you ?	1
But to speak of this , to anyone , would bring dire consequences .	4
Wham - Bos , go !	2
It breaks my heart .	6
Did I spend 9 , years with matadors not to learn about fear and safety ?	1
This is one sophisticated operation .	8
Even in one of yours , I would have thrown this glass at him .	1
Now this is a fine thing .	5
Oh ... innocence can be hell .	1
What are you trying to do to me ?	1
I got ta get back . Move it back !	4
Rover , this is [PERSON] .	2
There's [PERSON] and [PERSON] going out to yet another birthday party with their new son !  	2
He knows [LOCATION] very well . So , you'll be in good hands .	8
I'd like to know why I'm being shot .	4
I'd like you to ride with us .	2
Remember the Herefords in [LOCATION] ?	2
I need them yesterday .	1
But that's what you got to do .	2
What are the chances of finding that ?	7
He objects , she sustains , every time . The old flame's still burning , huh ?	7
You do not understand .	4
I'm giving the bride away .	8
Well , he really got his monster , didn't he ?	1
I'm anxious to get back to the office .	2
Run away now or I'll kick you .	1
I don't think I want body - to - body contact .	3
I must come clean , though . I I had a man in my bed last night .	6
He's mad . It was an accident .	1
Somebody help me , please .	4
Never talk about [PERSON] .	1
Learn to read , walk , talk , smile , and even fight .	2
They're coming !	4
I bet you've known a lot of lawyers .	2
The only place my parents ever mentioned coming from was overseas .	6
Oh , that bullshit again ?	1
Don't let her order you around .	1
Miss [PERSON]'s feeling a heap better today , Mr. [PERSON] .	5
You won't get my approval on this .	1
That right , mister ?	1
We're here to kick some major league butt .	2
There are people here I haven't seen since high school nor would I want to .	3
Nice and hot , just like you love it .	5
Why don't you like him ?	1
There's nothing more wonderful than children playing , hearing them laughing .	8
As a matter of fact , you look great .	5
We don't know what we're dealing with .	4
Miss [PERSON] is going with you ?	7
Is not no one , who could take care of him ?	6
I think a little mood lighting is appropriate .	2
Sort of , yes , from around the neighborhood .	4
When are you going ?	2
Coffee , sweetheart ?	2
Did you decode the message ?	2
Just like she killed you .	1
Yeah , like what ?	1
Yeah . You should stay , [PERSON] .	8
[PERSON]'s turning six this week but I don't think we'll have a clown this year .	8
Will you shut up ?	1
It's a good idea .	5
You weren't supposed to touch [PERSON] !	3
Jack to the king .	8
knots through the harbour ?	7
Yeah , we know the place .	8
This is great . Thank you . - Cheers .	8
He had to go back to work .	6
I'm glad to help .	5
It put the rope to the neck !	1
Go back to your work .	1
After we get to the capital whatever the emperor does to you is not me responsibility	3
When I came here , I thought this was gonna be a 30 - day stretch , maybe 60 .	7
The whole point is just to enjoy yourself .	5
They ended up deciding that , you know , I could go ahead and do the oral argument .	4
Atreyu , get real !	2
So I say , l don't know . 	6
He'll leave and take the little brat with him .	1
Get off my roof !	1
How come we never met before ? - No idea .	7
But [LOCATION]'s a horrid place .	6
There is to be no retreat , not so much as one millimeter .	1
No , not tonight .	3
Even if it could be your involvement with drugs has vindicated me .	1
Can you keep a secret , hmm ?	8
We're gonna leave you . Do what you have to do .	1
You're more resilient than I gave you credit for .	8
And w - what am I supposed to take your word for being worth ?	1
What is that ?	2
It was a pleasure .	5
As it happens , you are hardly in a position to have anything to say about it .	3
[PERSON] . [PERSON] benham .	5
Never I will understand the women .	6
Poor country ! You sold the [LOCATION] in a senseless war .	6
Oh , my God , what an idiot .	3
Those wicked detectives ...	1
A lady wouldn't work for this outfit .	1
I miss you too .	6
Very soon .	2
You should savor today , [PERSON] .	8
He might even be expecting you .	2
Mommy ...	6
What're you still doing here ?	7
Well , I'd begun to feel that I didn't have any part in your life , that I was an outsider .	6
Because it was my misery .	6
When it's gone we're done feeding ' . - Pass the chicken .	2
We've been doin' real good .	5
Yes , I love you , too . I'll find you some more .	8
Then I danced in tuscaloosa and the Mayor said the nicest things about me .	5
Let's get hot .	5
We were just telling some old war stories .	5
And in my first days , I will reach across party lines and devote my administration , your government , to securing them .	2
Welcome home !	8
So you'd better be a good little girl and eat your porridge .	1
You want to give her another shot at him ?	1
It make me sick .	3
He wants me to stay the whole week .	2
Oh , I'm so sorry , but we just couldn't .	6
She could not have been with [PERSON] .	7
We all have that fear .	8
Mess around with it , and it's going to kill you .	1
You know , it's a lot of legal rigmarole .	3
Why have you no hangover ?	1
I just fought the best fight of my life .	8
[PERSON] , turn me in if you want to . But this is over the line .	1
If it were our plane , it'd be crashing .	1
I wish I could have made her understand .	6
Before we go , you must play the piano for us .	2
The agricultural use is one of the exceptions , fortunately .	5
You think the soldiers are Russian ?	7
I told him you guys wanted out as well .	4
It's too late to start anything now .	4
Get upstairs , miss .	1
He's after me .	4
You gave me some very valuable information .	8
Home sweet home .	5
Bomb !	4
I forgive you .	8
They certainly want you to stay on . It's just , they felt when it came to head of department ...	4
Huh , just as well .	5
People sense these things .	8
It's great .	5
You're not tired .	8
You can see that they are jealous .	5
Then you'll have to have permission .	1
You should ... - What ?	2
I wan na see what he's all about .	2
Get a doctor at once !	4
Nutritionally speaking , it is exquisite .	5
We accept .	8
Your old man's been blasted out of his wheels . And your king - sized brother's been twisted like a pretzel .	3
Well . I didn't ask if it would fit . I asked how much it was .	1
I'll take you home .	8
I had to torpedo him .	3
Till I had to put a stop to that myself !	1
[PERSON] , you're so sweet .	5
Not covet thy neighbor's wife .	4
Come and meet the others .	2
There are people eager to work with you .	8
They say he killed a man when he was 12 , years old .	4
They've got [PERSON] .	4
[PERSON] , didn't you go and bat for me ? It was the owner's call .	1
I'm cold	6
[PERSON] would've fought back .	6
Make your wish .	8
I'm sorry , [PERSON] .	3
Take it easy .	8
I do . I like her a lot .	8
That's a hell of a story , Bell .	7
It's just -- it's hard sometimes .	4
How you going to stop me ?	1
We need to talk .	1
l hate not having eyebrows .	1
What I'm going to do is save Mr. [PERSON] from being embarrassed in open court .	2
A made - to - order paradise .	5
I do not hiding anything .	8
Oh , macaroni and cheese . - Same old story .	6
Well , good to see you boys made it through the war all right .	5
The sun can kill some of us , like [PERSON] .	4
I see white fluffy clouds ...	5
Let me decide what to do with it .	1
What a marvellous woman !	8
Are you sure they're here ?	2
We got this thing won already !	2
My dear lost love !	6
Mrs [PERSON] and I are going on the honeymoon .	2
That's it !	1
Just hold it steady until I tell you .	8
I changed my mind .	4
That's all that matters .	8
Hang tight . Hang tight .	8
It was all over the o'clock news who [PERSON] was , that he was a lawyer for this ... famous gangster named ...	2
There is no evidence .	1
Just look at me . I can't get through that jungle .	4
I'm sorry about the shoes .	6
